chi_name,eng_name,player_id
張建勳,NA,B004
呂俊雄,NA,A013
曾漢州,NA,W089
朱元勤,CHU Yuen Chin,R337
高政華,KAO Cheng Hua,L0B3
許誌為,NA,E0A5
康雷,Angel Gonzalez,T012
楊睿智,NA,G023
丘昌榮,CHIU Chang Jung,G016
陳雁風,CHEN Yen Feng,R530
吳哲宗,NA,B026
王宜民,NA,W0A6
余進德,NA,B0B0
帝波,Tiburcio Domingo,E019
藍少白,LAN Shao Bai,R301
王柏融,WANG Po Jung,H044
侯明坤,NA,T007
褚志遠,NA,C033
張協進,NA,B032
蔣坤珄,NA,T029
哥雅,Leonardo Garcia,T031
何献凡,NA,W036
周廣勝,CHOU Kuang Sheng,R335
王子菘,NA,L0D4
張耀騰,NA,B010
陳威成,NA,B006
闕壯鎮,NA,W051
郭銘仁,NA,G063
陳嘉宏,NA,W0A8
威納斯,Wilton Veras,G066
李聰富,NA,C019
陳執信,NA,C020
胡長豪,NA,W035
曾揚志,NA,L0B7
鄭幸生,NA,T032
喬治,George Hinshaw,C032
江泰權,NA,L021
葛雷諾,Epifanio Guerrero,E028
林振賢,LIN Chen Hsien,T001
施金典,SHIH Chin Tien,L0F3
劉育辰,LIU Yu Chen,R412
黃世明,NA,E012
王光熙,NA,C005
鄧耀華,NA,T015
黃正偉,NA,R010
古勝吉,NA,C025
周森毅,NA,L064
莊景賀,CHUANG Ching He,G003
卡羅,Juan Castillo,L008
劉耿欣,LIU Keng Shin,R020
黃俊傑,NA,C089
陳威志,CHEN Wei Chih,W073
吳俊達,NA,E001
德伍,Robert Wood,E066
余富誠,NA,L006
林光中,NA,D010
陳克帆,NA,G057
汪俊良,NA,L032
坎沙諾,Campusano Silvestre,D045
周德賢,NA,T038
陽冠威,NA,R680
路易士,Luis Santos,E023
凃壯勳,TU Chuang Hsun,R018
許閔嵐,NA,E0B8
許峰賓,HSU Feng Pin,R028
黃鈞瑜,NA,W012
陳元甲,NA,G056
賀亮德,Cesar Hernandez,L047
